ポケモン,https://gamewith.akamaized.net/img/824f6f53c6c390b3cfbd2cc3b831e39f.jpg,攻撁E防御,HP,合訁E,
ニドキング,http://pokemongo-news.com/pokemon_images/s/nidokingu.png,204,157,162,523
ピッチEhttp://pokemongo-news.com/pokemon_images/s/pippi.png,,116,140,363,
ピクシー,http://pokemongo-news.com/pokemon_images/s/pikushii.png,178,171,190,539
ロコン,http://pokemongo-news.com/pokemon_images/s/rokon.png,96,122,76,294
キュウコン,http://pokemongo-news.com/pokemon_images/s/kyuukon.png,169,204,146,519
プリン,http://pokemongo-news.com/pokemon_images/s/purin.png,80,44,230,354
プクリン,http://pokemongo-news.com/pokemon_images/s/pukurin.png,156,93,280,529
ズバッチEhttp://pokemongo-news.com/pokemon_images/s/zubatto.png,,76,80,239,
ゴルバッチEhttp://pokemongo-news.com/pokemon_images/s/gorubatto.png,,153,150,464,
ナゾノクサ,http://pokemongo-news.com/pokemon_images/s/nazonokusa.png,131,116,90,337
クサイハナ,http://pokemongo-news.com/pokemon_images/s/kusaihana.png,153,139,120,412
ラフレシア,http://pokemongo-news.com/pokemon_images/s/rafureshia.png,202,170,150,522
パラス,http://pokemongo-news.com/pokemon_images/s/parasu.png,121,99,70,290
パラセクチEhttp://pokemongo-news.com/pokemon_images/s/parasekuto.png,,146,120,431,
コンパン,http://pokemongo-news.com/pokemon_images/s/konpan.png,100,102,120,322
モルフォン,http://pokemongo-news.com/pokemon_images/s/morufulon.png,179,150,140,469
チE��グダ,http://pokemongo-news.com/pokemon_images/s/deliguda.png,109,88,20,217
ダグトリオ,http://pokemongo-news.com/pokemon_images/s/dagutorio.png,167,147,70,384
ニャース,http://pokemongo-news.com/pokemon_images/s/nyaasu.png,92,81,80,253
ペルシアン,http://pokemongo-news.com/pokemon_images/s/perushian.png,150,139,130,419
コダチE��,http://pokemongo-news.com/pokemon_images/s/kodakku.png,122,96,100,318
ゴルダチE��,http://pokemongo-news.com/pokemon_images/s/gorudakku.png,191,163,160,514
マンキー,http://pokemongo-news.com/pokemon_images/s/mankii.png,148,87,80,315
オコリザル,http://pokemongo-news.com/pokemon_images/s/okorizaru.png,207,144,130,481
ガーチE��,http://pokemongo-news.com/pokemon_images/s/gaadeli.png,136,96,110,342
ウインチE��,http://pokemongo-news.com/pokemon_images/s/uindeli.png,227,166,180,573
ニョロモ,http://pokemongo-news.com/pokemon_images/s/nyoromo.png,101,82,80,263
ニョロゾ,http://pokemongo-news.com/pokemon_images/s/nyorozo.png,130,130,130,390
ニョロボン,http://pokemongo-news.com/pokemon_images/s/nyorobon.png,182,187,180,549
ケーシィ,http://pokemongo-news.com/pokemon_images/s/keeshili.png,195,103,50,348
ユンゲラー,http://pokemongo-news.com/pokemon_images/s/yungeraa.png,232,138,80,450
フ�EチE��ン,http://pokemongo-news.com/pokemon_images/s/fuudelin.png,271,194,110,575
ワンリキー,http://pokemongo-news.com/pokemon_images/s/wanrikii.png,137,88,140,365
ゴーリキー,http://pokemongo-news.com/pokemon_images/s/goorikii.png,177,130,160,467
カイリキー,http://pokemongo-news.com/pokemon_images/s/kairikii.png,234,162,180,576
マダチE�EチEhttp://pokemongo-news.com/pokemon_images/s/madatsubomi.png,,64,100,303,
ウチE��ン,http://pokemongo-news.com/pokemon_images/s/utsudon.png,172,95,130,397
ウチE�EチE��,http://pokemongo-news.com/pokemon_images/s/utsubotto.png,207,138,160,505
メノクラゲ,http://pokemongo-news.com/pokemon_images/s/menokurage.png,97,182,80,359
ドククラゲ,http://pokemongo-news.com/pokemon_images/s/dokukurage.png,166,237,160,563
イシチE��チEhttp://pokemongo-news.com/pokemon_images/s/ishitsubute.png,,163,80,375,
ゴローン,http://pokemongo-news.com/pokemon_images/s/goroon.png,164,196,110,470
ゴローニャ,http://pokemongo-news.com/pokemon_images/s/goroonya.png,211,229,160,600
ポニータ,http://pokemongo-news.com/pokemon_images/s/poniita.png,170,132,100,402
ギャロチE�E,http://pokemongo-news.com/pokemon_images/s/gyaroppu.png,207,167,130,504
ヤドン,http://pokemongo-news.com/pokemon_images/s/yadon.png,109,109,180,398
ヤドラン,http://pokemongo-news.com/pokemon_images/s/yadoran.png,177,194,190,561
コイル,http://pokemongo-news.com/pokemon_images/s/koiru.png,165,128,50,343
レアコイル,http://pokemongo-news.com/pokemon_images/s/reakoiru.png,223,182,100,505
カモネギ,http://pokemongo-news.com/pokemon_images/s/kamonegi.png,124,118,104,346
ド�Eド�E,http://pokemongo-news.com/pokemon_images/s/doodoo.png,158,88,70,316
ド�Eドリオ,http://pokemongo-news.com/pokemon_images/s/doodorio.png,218,145,120,483
パウワウ,http://pokemongo-news.com/pokemon_images/s/pauwau.png,85,128,130,343
ジュゴン,http://pokemongo-news.com/pokemon_images/s/jugon.png,139,184,180,503
ベトベター,http://pokemongo-news.com/pokemon_images/s/betobetaa.png,135,90,160,385
ベトベトン,http://pokemongo-news.com/pokemon_images/s/betobeton.png,190,184,210,584
シェルダー,http://pokemongo-news.com/pokemon_images/s/shilerudaa.png,116,168,60,344
パルシェン,http://pokemongo-news.com/pokemon_images/s/parushilen.png,186,323,100,609
ゴース,http://pokemongo-news.com/pokemon_images/s/goosu.png,186,70,60,316
ゴースチEhttp://pokemongo-news.com/pokemon_images/s/goosuto.png,,112,90,425,
ゲンガー,http://pokemongo-news.com/pokemon_images/s/gengaa.png,261,156,120,537
イワーク,http://pokemongo-news.com/pokemon_images/s/iwaaku.png,85,288,70,443
スリーチEhttp://pokemongo-news.com/pokemon_images/s/suriipu.png,,158,120,367,
スリーパ�E,http://pokemongo-news.com/pokemon_images/s/suriipaa.png,144,215,170,529
クラチEhttp://pokemongo-news.com/pokemon_images/s/kurabu.png,,156,60,397,
キングラー,http://pokemongo-news.com/pokemon_images/s/kinguraa.png,240,214,110,564
ビリリダチEhttp://pokemongo-news.com/pokemon_images/s/biriridama.png,,114,80,303,
マルマイン,http://pokemongo-news.com/pokemon_images/s/marumain.png,173,179,120,472
タマタチEhttp://pokemongo-news.com/pokemon_images/s/tamatama.png,,140,120,367,
ナッシー,http://pokemongo-news.com/pokemon_images/s/nasshii.png,233,158,190,581
カラカラ,http://pokemongo-news.com/pokemon_images/s/karakara.png,90,165,100,355
ガラガラ,http://pokemongo-news.com/pokemon_images/s/garagara.png,144,200,120,464
サワムラー,http://pokemongo-news.com/pokemon_images/s/sawamuraa.png,224,211,100,535
エビワラー,http://pokemongo-news.com/pokemon_images/s/ebiwaraa.png,193,212,100,505
ベロリンガ,http://pokemongo-news.com/pokemon_images/s/beroringa.png,108,137,180,425
ドガース,http://pokemongo-news.com/pokemon_images/s/dogaasu.png,119,164,80,363
マタドガス,http://pokemongo-news.com/pokemon_images/s/matadogasu.png,174,221,130,525
サイホ�Eン,http://pokemongo-news.com/pokemon_images/s/saihoon.png,140,157,160,457
サイドン,http://pokemongo-news.com/pokemon_images/s/saidon.png,222,206,210,638
ラチE��ー,http://pokemongo-news.com/pokemon_images/s/rakkii.png,60,176,500,736
モンジャラ,http://pokemongo-news.com/pokemon_images/s/monjara.png,183,205,130,518
ガルーラ,http://pokemongo-news.com/pokemon_images/s/garuura.png,181,165,210,556
タチE��ー,http://pokemongo-news.com/pokemon_images/s/tattsuu.png,129,125,60,314
シードラ,http://pokemongo-news.com/pokemon_images/s/shiidora.png,187,182,110,479
トサキンチEhttp://pokemongo-news.com/pokemon_images/s/tosakinto.png,,115,90,328,
アズマオウ,http://pokemongo-news.com/pokemon_images/s/azumaou.png,175,154,160,489
ヒトチE�Eン,http://pokemongo-news.com/pokemon_images/s/hitodeman.png,137,112,60,309
スターミ�E,http://pokemongo-news.com/pokemon_images/s/sutaamii.png,210,184,120,514
バリヤーチEhttp://pokemongo-news.com/pokemon_images/s/bariyaado.png,,233,80,505,
ストライク,http://pokemongo-news.com/pokemon_images/s/sutoraiku.png,218,170,140,528
ルージュラ,http://pokemongo-news.com/pokemon_images/s/ruujura.png,223,182,130,535
エレブ�E,http://pokemongo-news.com/pokemon_images/s/erebuu.png,198,173,130,501
ブ�Eバ�E,http://pokemongo-news.com/pokemon_images/s/buubaa.png,206,169,130,505
カイロス,http://pokemongo-news.com/pokemon_images/s/kairosu.png,238,197,130,565
ケンタロス,http://pokemongo-news.com/pokemon_images/s/kentarosu.png,198,197,150,545
コイキング,http://pokemongo-news.com/pokemon_images/s/koikingu.png,29,102,40,171
ギャラドス,http://pokemongo-news.com/pokemon_images/s/gyaradosu.png,237,197,190,624
ラプラス,http://pokemongo-news.com/pokemon_images/s/rapurasu.png,165,180,260,605
メタモン,http://pokemongo-news.com/pokemon_images/s/metamon.png,91,91,96,278
イーブイ,http://pokemongo-news.com/pokemon_images/s/iibui.png,104,121,110,335
シャワーズ,http://pokemongo-news.com/pokemon_images/s/shawaazu.png,205,177,260,642
サンダース,http://pokemongo-news.com/pokemon_images/s/sandaasu.png,232,201,130,563
ブ�Eスター,http://pokemongo-news.com/pokemon_images/s/buusutaa.png,246,204,130,580
ポリゴン,http://pokemongo-news.com/pokemon_images/s/porigon.png,153,139,130,422
オムナイチEhttp://pokemongo-news.com/pokemon_images/s/omunaito.png,,174,70,399,
オムスター,http://pokemongo-news.com/pokemon_images/s/omusutaa.png,207,227,140,574
カブト,http://pokemongo-news.com/pokemon_images/s/kabuto.png,148,162,60,370
カブトプス,http://pokemongo-news.com/pokemon_images/s/kabutopusu.png,220,203,120,543
プテラ,http://pokemongo-news.com/pokemon_images/s/putera.png,221,164,160,545
カビゴン,http://pokemongo-news.com/pokemon_images/s/kabigon.png,190,190,320,700
フリーザー,http://pokemongo-news.com/pokemon_images/s/furiizaa.png,192,249,180,621
サンダー,http://pokemongo-news.com/pokemon_images/s/sandaa.png,253,188,180,621
ファイヤー,http://pokemongo-news.com/pokemon_images/s/fulaiyaa.png,251,184,180,615
ミニリュウ,http://pokemongo-news.com/pokemon_images/s/miniryuu.png,119,94,82,295
ハクリュー,http://pokemongo-news.com/pokemon_images/s/hakuryuu.png,163,138,122,423
カイリュー,http://pokemongo-news.com/pokemon_images/s/kairyuu.png,263,201,182,646
ミュウチE�E,http://pokemongo-news.com/pokemon_images/s/myuutsuu.png,330,200,212,742
ミュウ,http://pokemongo-news.com/pokemon_images/s/myuu.png,210,210,200,620
チコリータ,http://pokemongo-news.com/pokemon_images/s/chikoriita.png,92,122,90,304
ベイリーチEhttp://pokemongo-news.com/pokemon_images/s/beiriifu.png,,155,120,397,
メガニウム,http://pokemongo-news.com/pokemon_images/s/meganiumu.png,168,202,160,530
ヒノアラシ,http://pokemongo-news.com/pokemon_images/s/hinoarashi.png,116,96,78,290
マグマラシ,http://pokemongo-news.com/pokemon_images/s/magumarashi.png,158,129,116,403
バクフ�Eン,http://pokemongo-news.com/pokemon_images/s/bakufuun.png,223,176,156,555
ワニノコ,http://pokemongo-news.com/pokemon_images/s/waninoko.png,117,116,100,333
アリゲイチEhttp://pokemongo-news.com/pokemon_images/s/arigeitsu.png,,151,130,431,
オーダイル,http://pokemongo-news.com/pokemon_images/s/oodairu.png,205,197,170,572
オタチEhttp://pokemongo-news.com/pokemon_images/s/otachi.png,,77,70,226,
オオタチEhttp://pokemongo-news.com/pokemon_images/s/ootachi.png,,130,170,448,
ホ�Eホ�E,http://pokemongo-news.com/pokemon_images/s/hoohoo.png,67,101,120,288
ヨルノズク,http://pokemongo-news.com/pokemon_images/s/yorunozuku.png,145,179,200,524
レチE��チEhttp://pokemongo-news.com/pokemon_images/s/redeliba.png,,142,80,294,
レチE��アン,http://pokemongo-news.com/pokemon_images/s/redelian.png,107,209,110,426
イト�Eル,http://pokemongo-news.com/pokemon_images/s/itomaru.png,105,73,80,258
アリアドス,http://pokemongo-news.com/pokemon_images/s/ariadosu.png,161,128,140,429
クロバッチEhttp://pokemongo-news.com/pokemon_images/s/kurobatto.png,,178,170,542,
チョンチ�E,http://pokemongo-news.com/pokemon_images/s/chonchii.png,106,106,150,362
ランターン,http://pokemongo-news.com/pokemon_images/s/rantaan.png,146,146,250,542
ピチュー,http://pokemongo-news.com/pokemon_images/s/pichuu.png,77,63,40,180
ピィ,http://pokemongo-news.com/pokemon_images/s/pili.png,75,91,100,266
プ�Eリン,http://pokemongo-news.com/pokemon_images/s/pupurin.png,69,34,180,283
トゲピ�E,http://pokemongo-news.com/pokemon_images/s/togepii.png,67,116,70,253
トゲチック,http://pokemongo-news.com/pokemon_images/s/togechikku.png,140,191,110,441
ネイチE��,http://pokemongo-news.com/pokemon_images/s/neiteli.png,134,89,80,303
ネイチE��オ,http://pokemongo-news.com/pokemon_images/s/neitelio.png,192,146,130,468
メリーチEhttp://pokemongo-news.com/pokemon_images/s/meriipu.png,,82,110,306,
モココ,http://pokemongo-news.com/pokemon_images/s/meriipu.png,145,112,140,397
チE��リュウ,http://pokemongo-news.com/pokemon_images/s/denryuu.png,211,172,180,563
キレイハナ,http://pokemongo-news.com/pokemon_images/s/kireihana.png,169,189,150,508
マリル,http://pokemongo-news.com/pokemon_images/s/mariru.png,37,93,140,270
マリルリ,http://pokemongo-news.com/pokemon_images/s/mariruri.png,112,152,200,464
ウソチE��ー,http://pokemongo-news.com/pokemon_images/s/usokkii.png,167,198,140,505
ニョロトノ,http://pokemongo-news.com/pokemon_images/s/nyorotono.png,174,192,180,546
ハネチE��,http://pokemongo-news.com/pokemon_images/s/hanekko.png,67,101,70,238
ポ�EチE��,http://pokemongo-news.com/pokemon_images/s/popokko.png,91,127,110,328
ワタチE��,http://pokemongo-news.com/pokemon_images/s/watakko.png,118,197,150,465
エイパム,http://pokemongo-news.com/pokemon_images/s/eipamu.png,136,112,110,358
ヒ�EナッチEhttp://pokemongo-news.com/pokemon_images/s/himanattsu.png,,55,60,170,
キマワリ,http://pokemongo-news.com/pokemon_images/s/kimawari.png,185,148,150,483
ヤンヤンチEhttp://pokemongo-news.com/pokemon_images/s/yanyanma.png,,94,130,378,
ウパ�E,http://pokemongo-news.com/pokemon_images/s/upaa.png,75,75,110,260
ヌオー,http://pokemongo-news.com/pokemon_images/s/nuoo.png,152,152,190,494
エーフィ,http://pokemongo-news.com/pokemon_images/s/eefuli.png,261,194,130,585
ブラチE��ー,http://pokemongo-news.com/pokemon_images/s/burakkii.png,126,250,190,566
ヤミカラス,http://pokemongo-news.com/pokemon_images/s/yamikarasu.png,175,87,120,382
ヤドキング,http://pokemongo-news.com/pokemon_images/s/yadokingu.png,177,194,190,561
ムウチEhttp://pokemongo-news.com/pokemon_images/s/muuma.png,,167,120,454,
アンノ�Eン,http://pokemongo-news.com/pokemon_images/s/annoon.png,136,91,96,323
ソーナンス,http://pokemongo-news.com/pokemon_images/s/soonansu.png,60,106,380,546
キリンリキ,http://pokemongo-news.com/pokemon_images/s/kirinriki.png,182,133,140,455
クヌギダチEhttp://pokemongo-news.com/pokemon_images/s/kunugidama.png,,146,100,354,
フォレトス,http://pokemongo-news.com/pokemon_images/s/fuloretosu.png,161,242,150,553
ノコチE��,http://pokemongo-news.com/pokemon_images/s/nokocchi.png,131,131,200,462
グライガー,http://pokemongo-news.com/pokemon_images/s/guraigaa.png,143,204,130,477
ハガネ�Eル,http://pokemongo-news.com/pokemon_images/s/haganeeru.png,148,333,150,631
ブルー,http://pokemongo-news.com/pokemon_images/s/buruu.png,137,89,120,346
グランブル,http://pokemongo-news.com/pokemon_images/s/guranburu.png,212,137,180,529
ハリーセン,http://pokemongo-news.com/pokemon_images/s/hariisen.png,184,148,130,462
ハッサム,http://pokemongo-news.com/pokemon_images/s/hassamu.png,236,191,140,567
チE�EチE�E,http://pokemongo-news.com/pokemon_images/s/tsubotsubo.png,17,396,40,453
ヘラクロス,http://pokemongo-news.com/pokemon_images/s/herakurosu.png,234,189,160,583
ニューラ,http://pokemongo-news.com/pokemon_images/s/nyuura.png,189,157,110,456
ヒメグチEhttp://pokemongo-news.com/pokemon_images/s/himeguma.png,,93,120,355,
リングチEhttp://pokemongo-news.com/pokemon_images/s/ringuma.png,,144,180,560,
マグマッグ,http://pokemongo-news.com/pokemon_images/s/magumaggu.png,118,71,80,269
マグカルゴ,http://pokemongo-news.com/pokemon_images/s/magukarugo.png,139,209,100,448
ウリムー,http://pokemongo-news.com/pokemon_images/s/urimuu.png,90,74,100,264
イノムー,http://pokemongo-news.com/pokemon_images/s/inomuu.png,181,147,200,528
サニ�Eゴ,http://pokemongo-news.com/pokemon_images/s/saniigo.png,118,156,110,384
チE��ポウオ,http://pokemongo-news.com/pokemon_images/s/teppouo.png,127,69,70,266
オクタン,http://pokemongo-news.com/pokemon_images/s/okutan.png,197,141,150,488
チE��バ�EチEhttp://pokemongo-news.com/pokemon_images/s/deribaado.png,,90,90,308,
マンタイン,http://pokemongo-news.com/pokemon_images/s/mantain.png,149,260,130,539
エアームチEhttp://pokemongo-news.com/pokemon_images/s/eaamudo.png,,260,130,539,
チE��ビル,http://pokemongo-news.com/pokemon_images/s/derubiru.png,152,93,90,335
ヘルガー,http://pokemongo-news.com/pokemon_images/s/herugaa.png,224,159,150,533
キングドラ,http://pokemongo-news.com/pokemon_images/s/kingudora.png,194,194,150,538
ゴマゾウ,http://pokemongo-news.com/pokemon_images/s/gomazou.png,107,107,180,394
ドンファン,http://pokemongo-news.com/pokemon_images/s/donfulan.png,214,214,180,608
ポリゴン2,http://pokemongo-news.com/pokemon_images/s/porigon2.png,198,183,170,551
オドシシ,http://pokemongo-news.com/pokemon_images/s/odoshishi.png,192,132,146,470
ド�Eブル,http://pokemongo-news.com/pokemon_images/s/dooburu.png,40,88,110,238
バルキー,http://pokemongo-news.com/pokemon_images/s/barukii.png,64,64,70,198
カポエラー,http://pokemongo-news.com/pokemon_images/s/kapoeraa.png,173,214,100,487
ムチュール,http://pokemongo-news.com/pokemon_images/s/muchuuru.png,153,116,90,359
エレキチE��,http://pokemongo-news.com/pokemon_images/s/erekiddo.png,135,110,90,335
ブビィ,http://pokemongo-news.com/pokemon_images/s/bubili.png,151,108,90,349
ミルタンク,http://pokemongo-news.com/pokemon_images/s/mirutanku.png,158,211,190,559
ハピナス,http://pokemongo-news.com/pokemon_images/s/hapinasu.png,129,229,510,868
ライコウ,http://pokemongo-news.com/pokemon_images/s/raikou.png,241,210,180,631
エンチE��,http://pokemongo-news.com/pokemon_images/s/entei.png,235,176,230,641
スイクン,http://pokemongo-news.com/pokemon_images/s/suikun.png,180,235,200,615
ヨーギラス,http://pokemongo-news.com/pokemon_images/s/yoogirasu.png,115,93,100,308
サナギラス,http://pokemongo-news.com/pokemon_images/s/sanagirasu.png,155,133,140,428
バンギラス,http://pokemongo-news.com/pokemon_images/s/bangirasu.png,251,212,200,663
ルギア,http://pokemongo-news.com/pokemon_images/s/rugia.png,193,323,212,728
ホウオウ,http://pokemongo-news.com/pokemon_images/s/houou.png,263,301,212,776
セレビィ,http://pokemongo-news.com/pokemon_images/s/serebili.png,210,210,200,620
